id,puzzle,solution,time_sec,difficulty
1682079,....8.......92...1.93.1..64.3...8..5..64.......1....9.619.5.2..........7.7...21..,165384972487926531293715864934268715756491328821573496619857243542139687378642159,10.110,2.1
1020874,....37....6..5.83.82..........174..919....4.3..6.......3......7.....86.......6.14,915837246764259831823461795382174569197685423546923178631542987479318652258796314,1.490,2.3
1854351,.......3..1.8......2...45.6.4......2.....195.59762..........2743........75.4...9.,478562139615839427923174586841953762236741958597628341169385274384297615752416893,25.765,1.3
2631729,8.9634.........2..7.1..9.....3.9...7......4.....516.3.9.....5.3.3...76.2.......8.,829634751345871296761259348653498127198723465472516839986142573534987612217365984,3.463,2.9
2173627,..9.3........1..4.1..4...5.7.......3.6....1.9..26....7....5...8..79.6....2....69.,649532871285719346173468952791825463568347129432691587916254738357986214824173695,72.931,1.4
421559,...5..8..35.12...74.6.....5.91....7.7.2...68......3.1.....1......7.96...6.....3..,219567834358124967476839125591682473732451689864973512983215746147396258625748391,0.891,2.1
270203,.....7...6..9....5.4.51..92.571..2....6...........4.8....4.9...3.56....97....5...,519247368672983415843516792957168234486392157231754986168429573325671849794835621,1.856,1.5
728260,7.9.8..56....9....3..4..2..87...4......3..7....39....5....7..2.6..5....118.....3.,719283456246795318358416297872154963591368742463927185935871624624539871187642539,1.295,1.3
1944034,63....8......78.45.............46.9...5..7.2426....7....2......74..9.....96.3..8.,637954812129678345458123976873246591915387624264519738382761459741895263596432187,8.337,1.3
1621251,..1.5......41.6.....69...41......6..9...41.7..27..3.8.4.9.......8..........479.63,291854736734126958856937241345782619968541372127693584479368125683215497512479863,9.034,2.8
13399,....9.4.5..5....9.6.....7.......5.2...9...6.7...97..5.8.......2.3.15..6.2..6.9...,128796435375814296694523781783465129519238647462971358856347912937152864241689573,18.280,2.8
1173741,.............6.4.9.6.3...7......6.....62...8192...174.3.9.4.5....15.........8...2,897415623132768459564329178418976235756234981923851746389642517271593864645187392,29.675,1.2
379419,........6....41.7....2.9.8.76.......8.....6....95....1.....45...4.7123..37...5.49,594378216238641975617259483761493852853127694429586731186934527945712368372865149,1.595,1.4
1725021,9...286......6.7.3........8..9....3.....42....56.9....2.41...6.81......7..7.3..1.,935728641148569723672413958429875136381642579756391284294187365813256497567934812,17.353,1.3
592349,.9.81.....3....7..41.6..5.....58.9.3...36..1.8.........5..7.4....92...6..2.......,597813246632459781418627539261584973975362814843791625356178492189245367724936158,7.635,2.5
422616,......2.8.2....51.5.13....94.5...7.22..9...8...6..........1687.....4.....137.....,649571238328694517571382649495138762237965184186427395954216873762843951813759426,13.828,1.8
1184235,7..168....9.........6.....14.....2.8.8.2...6..1.9.7..4....35.4....8..395....2.7..,745168923193542687826793451459316278387254169612987534971635842264871395538429716,4.287,1.5
2070869,7...1.26..4..3...7........96.4...82..1.8..54..5.2......6.....7.2.1.73......4.....,735914268849632157126785439674359821912867543358241796463128975291573684587496312,3.555,1.9
2086216,...6.......7.93...8....1...3..8...1...9...2.868.1.73.4..2...4515.........9....7.3,943682175217593846856471932324869517179345268685127394762938451538714629491256783,8.428,1.2
40806,...........5.187...8...3.2.6....1..........7.35.2.4..8..1.2.9....8...6.....5.6.3.,793452816425618793186793425672831549814965372359274168561327984238149657947586231,0.719,1.2
1653848,7.32..........8....5...412..7......5..23......3.985.4.8...5...7....9.....6.....5.,783219564421568973659734128978142635542376891136985742894653217215497386367821459,25.537,2.7
2624473,..97......48...76......1..5..7....8..8..6.3.......25469.....2....63.8..7...1.....,529786134148235769763941825657413982482569371391872546934657218216398457875124693,16.102,2.4
2853216,.......85..7..6....24.5.97....6..4..2....3.9..9...81..3.....5..6..9.......287....,136497285957286314824351976783619452261543897495728163379162548648935721512874639,19.211,2.5
333017,83..1..5.1...2.7....6....9....36.2.....1.....5.4...61..........28.5.........761..,837619452159423786426857391718365249362194875594782613671938524283541967945276138,22.353,2.5
2030913,.2..8.73.8.......9..3.6.1...4..2....5......7....7.9.6..5..1.8.4..6..7.....8.5....,125984736864173529973265148647521983539648271281739465752316894416897352398452617,4.710,2.0
438145,2.94.....56...3....7........4.2.86..7.....28....5..93....38.....3...574.92.......,289461573564723891173859426345298617796134285812576934457382169638915742921647358,113.992,2.8
2243085,...1..6.4..7..5....4......5.....397.9.8.....6..6.1...........234...6..1.32.7.4...,592178634867435192143926785254683971918247356736519248675891423489362517321754869,2.772,1.4
1102858,....7.6...5.........951.8..8....7.3...7..2......9...8.6....3.47...25...6..4...2..,283479651156328974749516823825647139397182465461935782612893547978254316534761298,0.106,1.2
1078792,.9....3...5..39.....245......8..4..1..92.853..2....6..........2.7.3.6.9...1.8....,796821345154639827382457916538964271619278534427513689843195762275346198961782453,35.291,3.0
2976114,..6.2.1...2........3...64....3.6..928..71...3..4.........19.......53..6......87..,486325179927481356531976428173864592852719643694253817365197284748532961219648735,18.368,1.1
1268624,.59..4..8..1.....448....2.3.1.6....9...83....93..4.......5...7.....8....6...7..1.,759324168321968754486715293814657329267839541935142687143596872572481936698273415,22.687,1.6
558308,..........6....52.3.4.85...4.1..9.622....1....5..64..............9....13.856.....,517426938968317524324985176471859362296731485853264791732148659649572813185693247,27.185,1.9
1959691,7.21...6..6.7..3..14.......51.......4....3..9..3...7.2..1.9..2.....6..8.....2.493,732184965869752314145936278517249836426873159983615742351498627294367581678521493,8.998,1.2
134956,..2....9.1.5......4.7..5.36...49.6.....1.2...5..8....4.......23....8....341..7...,632741895195638247487925136718493652964152378523876914876519423259384761341267589,83.845,2.7
730388,.....486..1..8.59...4..3........5.1.6..14...9...86..............52.9..4.9....87.6,579214863213786594864953172498325617635147289127869435386472951752691348941538726,20.843,1.8
334109,....2..3..9..1.4...5....9..7....6..3..8..7..126...4...18..........5.........6.759,617429835893615472452738916749156283538297641261384597185972364976543128324861759,70.058,1.8
2576071,..62.3....9...5..28....91..28.....6......15....34.......9...2.63.4..27..1........,456213879791845632832769145285937461947621583613458927579384216364192758128576394,33.412,1.1
2636488,8..97.....7..5..2.3...1..4...238.1.......9.5......1.64..9..5....1...8..34........,821974635674853921395612748542386197168749352937521864789235416216498573453167289,13.858,2.6
285222,......13...3.6...852.9.3......1..4...5.7.....4..6.28........9..94...8..7..64.....,694857132173264598528913746367185429852749361419632875231576984945328617786491253,56.123,1.8
262039,..5..468........7..1....4...7619.2......73.....3.4...916....85..9......68.4.2....,725914683648352971319867425476195238981273564253648719167439852592781346834526197,6.382,1.7
1588028,........9...13....3.294...6.35..147...85.....67...4.....64.5....5..8.....2..1..58,164258739597136284382947516935861472248579163671324895816495327753682941429713658,20.707,2.6
633404,.........912.8........1..3..5.....8...45..67..63..2....4.....9....6348....8..5.1.,836759241912483765475216938159367482284591673763842159347128596591634827628975314,13.495,2.2
2461365,.7..3..8.5.....27..2...46...8.....41.6..........2.8..98....54....6.1..3.93......8,671532984594681273328794615782956341469173852153248769817325496246819537935467128,7.590,3.0
1904627,.3....5.4.....6.....793..2...2...7..4.5......6..7.......657......94....8.4..8.3.5,938217564124856937567934821892165743475392186613748259386571492759423618241689375,8.169,1.8
339576,6........29..8...685..26....48...1......6..79....53......3.........75..292..1..3.,674539281293481756851726943348297165512864379769153428185342697436975812927618534,16.783,2.2
2642076,...3...9..7...5..8..52.......487.1.9...9..2.7.5..1..34...7.1....3.........9...5.1,142368795673195428895247316264873159318954267957612834586721943431589672729436581,21.651,1.5
2048592,1.......5....9.4.2.2...3...8........23...1.....9..267.75..4..6........9...6..71.3,198624735673598412425713986864975321237461859519832674751349268342186597986257143,12.322,1.3
1957768,7....8.2..2.3..7..96......5...7.........1.9.....459.1....87...9......6.127..9.5..,745968123128345796963127485419786352587213964632459817356871249894532671271694538,31.479,2.7
376751,........9....52..335.1...7....4...5.....2.9..8....6..21.4.7..8..8..1..67.....3...,718364529496752813352198674239481756641527938875936142124679385983215467567843291,140.502,1.5
2332116,...1..54...896......3..7....8...9..21..5...3..274..8..4.1.................6....13,279183546518964327643257198385719462164528739927436851431672985852391674796845213,17.598,2.6
443674,1......8....3....63..5.9.7...7....5.84......3..1.6...2..5.9...1.19..4...4..7.....,194276385758341926326589174967132458842957613531468792275693841619824537483715269,33.961,2.4
1823081,1..7.42....23....7.8....3..36..1.......8....4......15.4...53.9....4.8.......6..1.,136794285542381967987625341364517829215839674879246153428153796691478532753962418,33.442,1.5
2425237,84..2...3..5....2.2...678....31.5..66.....1.........9...8.....1......7.9...61...4,847529613365841927219367845923185476674932158581476392458793261136254789792618534,14.077,2.1
2189546,.98.4........3...97..62.....8...7..6.6.....5.47...2.9....1....7.....6..89.1....25,298741563614835279735629184582917346169483752473562891826154937357296418941378625,3.379,2.7
1832944,...76...3...4....23....9..66..........4.8.7.1..8..1..........1.4..69.5..57.2...3.,142768953869435172357129486615972348234586791798341265923857614481693527576214839,6.556,2.3
1420265,876.91......4.35.......6...2...1...9..7...82.....6..3.49...8..6..8...9...32.....5,876591243129483567543726198284317659367945821915862734491258376758634912632179485,24.621,2.2
157780,...........61.3.75...7.6.....1....5.........7.65.1..8..4.32.....28..7.41.5..9..2.,574982136896143275312756894431879652289635417765214983147328569928567341653491728,7.280,2.2
2945443,.8..4.....3.2....81....597......37.......1.342.........1.7...4..9.6..5..7......96,982147365537296418146385972451863729879521634263974851618759243394612587725438196,22.561,2.3
1380823,...79.........1.284.....1....64.3....7.5..6..9..........4.2..9..6....81..2.6.7..3,281796534657341928493258167516473289372589641948162375134825796765934812829617453,12.081,1.6
1044574,1.7....9459.6........1.....4..3.......8....4......28...2...5.....6.....873.4...16,167823594592674381384159627459387162278516943613942875821765439946231758735498216,1.885,1.2
896433,.63.8.....4...6...95...14..3...9.........7......2149....1.4.7.3.......4.58.6....1,263489517147526389958731462312895674495367128876214935621948753739152846584673291,7.784,1.6
1937231,..9....2.......1...62.4.8...9...2.6...3....7.6..17...8.4.3......28...5.....71....,189537624475286139362941857897452361213869475654173298941325786728694513536718942,47.609,1.4
619004,87...3..24.......1....58....8.3.25....1....6..2..1............93....9...1.623.8..,879163452465927381213458796684392517931745268527816943742581639358679124196234875,1.538,1.4
1853098,...3....735.9...4.1.8.....6.8...........1..83..92.7....4.......5....481.....9....,964328157357961248128745396681539724275416983439287561842153679593674812716892435,19.361,1.6
2470096,.3......8.9....4...18.23.9.3.2..6.5....1.....6......7.....3....7......1.9...7.23.,536497128297518463418623795342786951879152346651349872124935687783264519965871234,44.485,1.8
1240263,2..9..54......2.819....32............6179....7.9..5....8.4.6..5..3.....86..5.....,216987543375642981948153267824361759561794832739825416182476395453219678697538124,9.418,1.4
1914745,...9.1..2....2.......7.85....3...67.8......1.7495.....6..4.98..297....4.........1,436951782578623194912748563123894675865372419749516238651439827297185346384267951,23.100,1.4
1475629,5.6.......2.15.....1..2.67....6....2.....78..18.9..4...95....84...29......3..8...,536749128728156943914823675359684712462517839187932456695371284841295367273468591,12.278,2.3
1315242,2....1.....86...314..27............2..6.3.....3...9.54.57...16.......4..34..8....,265391847978645231413278596194567382586432719732819654857924163629153478341786925,1.424,1.7
387775,..4..51986........18.2......9.3...5.2....641...8.1...3.73....4......37..9...2....,324675198659831274187294365791342856235986417468517923873159642512463789946728531,4.237,2.9
76149,.2...4...7.4.9....9..3...2.....6...2...91.7..365....9.89......6...7........4....3,623154987784692351951378624179865432248913765365247198897531246432786519516429873,65.679,2.8
2797512,7..3..........4.69....2.57...24..1..3....9...5..68.....618..4........3..95......2,729365841835174269146928573692437158384519726517682934261853497478296315953741682,2.870,1.8
527455,.872..6.....6.1..2.....9.7...6..7.....2.9..8141........95.24...2........8..3.....,587243619349671852621859473956187234732496581418532796195724368273968145864315927,6.612,2.2
1830420,..4..8....7.......2...1...4.......6..6.8374..3.76.5..9..6...5......791..795.8....,934768251671254938258913674582491763169837425347625819816342597423579186795186342,1.024,2.3
2446568,...5..341....4............5.9.1..43...8.5.....6..94..71.47.32........8...59..27..,826579341513246978947831625795128436438657192261394587184763259372915864659482713,1.236,2.7
1288641,.......2...1....4.5..1..3...594...6.8...2.4.......9.1.4......732..7......6..58...,948673521631285947572194386759431862816527439324869715485912673293746158167358294,31.365,3.0
2866066,.3....6..2.8...5.7.7.8...2.4....87......3..5.5.62....4...7...19..9.1.....2...94..,931527648248196537675843921413658792782934156596271384354762819869415273127389465,10.288,2.1
1658333,.26..7..91...5.824..9......7...9..58......7.........91...3.84.2..2........86....3,826147539173956824549832617764291358291583746385764291957318462632479185418625973,3.537,1.1
1309823,..52............7..4...3.89.1..9..45.2...5.....41...2..5.9....4...7.8.938.1......,975286431283419576146573289718392645629845317534167928357921864462758193891634752,35.257,2.8
1426665,46.............1..2.51..8.9...8.3..535..91..6..9.6...8.7...89..1.4....52.....5...,461289573897356124235174869612843795358791246749562318576428931184937652923615487,0.275,1.5
373069,5.2....9...3.....57.6..82...2.7.6....6.8.9.3..18.........3.2..8......9...7....1..,582461397143927685796538241325746819467819532918253764651392478834175926279684153,2.014,1.5
1428679,..389.721..2....3.......4.........8....3.8.4.....759..6..15...8....3..6..912.....,563894721472561839819723456137942685956318247248675913624157398785439162391286574,61.622,1.2
1397890,19...8.5.....9..4..7...2......61..9...62..1.3.....5...384...2........6..2....9...,193468752625791348478532961842613597956274183731985426384156279519827634267349815,1.839,2.0
256628,4....3.8..5..4.92.7.......58.4...2..96.3........76..........6.1.83..........59..4,426593187358147926791286345874915263965324718132768459549832671683471592217659834,3.500,1.4
480445,...9..2.....3...1.7.8..1.....58...92.4..1....8...2..7.6....5..79.7...6.5.5...3..8,316957284524368719798241563175836492243719856869524371682495137937182645451673928,13.291,1.3
510442,.......2....4.....56..218..19...5..4...7.625.........3.3..6.4.......8.....12..5..,814657329729483165563921847192835674348796251675142983237569418456318792981274536,15.043,2.3
29141,.3......6...8.7...1...5...39....8......4.1.....6....4..28....1...75...2...9.2.4..,735914286692837154184652793941268537853471962276395841328749615417586329569123478,4.042,1.2
911197,72......5...824.....9....6...43.1.5.....6..3..53..7..19.1.4..........27......5...,728619345365824197419753862284391756197562438653487921971246583546138279832975614,35.867,1.5
545356,.2....679....5..........81..9...75...6.34..277...62.....9....3...71.8.....3...1..,521483679986751342374296815492817563168345927735962481819524736657138294243679158,8.776,1.6
1384506,..5....3..6...29.5.4..96......7....11.2.8......9..4.83..89.....2....8....57.4....,925817436861432975743596128486753291132689754579124683618975342294368517357241869,11.509,1.7
511944,.2..76...8.4.....13...1.7...1.7...9.....42.....5...43........7.7..931.5.....5.6..,129576348874293561356814729413785296697342185285169437541628973762931854938457612,14.791,1.8
754778,.5.8....7.....53...81.......7..6..924....2...8....3.5......6.21.9....4......1.96.,354829617627145389981637245573461892419582736862973154748396521196258473235714968,0.432,1.9
2512914,4....23.......4...2..17.8....8........43.7.8..57.6...3..15...6..6.4..7...3....9..,486952317173684592295173846318245679624397185957861423741539268569428731832716954,1.474,2.2
1037972,...2.65...398...........46....4..32.2.8.......1..8.67..7..5....5.......1..1..7...,147236589639845217852719463795461328268573194314982675976154832523698741481327956,21.042,1.5
2236330,.....3..1.8....96..12...35...76....96...5....9...4..8...1.3.....6....1.....82....,496573821583214967712968354137682549648359712925147683871436295264795138359821476,34.717,2.0
1619837,...3.52....4.....6.2...9.176.3..7.....58317........98.37....1......5........1...8,167385294934172856528649317683927541495831762712564983376498125841253679259716438,15.383,1.9
2595079,64.1....21.....8..9...7..4..7.3..694..1.98......4...........2.....7..3.6.23......,647185932135942867982673541278351694461298753359467128796834215514729386823516479,4.960,1.9
1961768,.6......7..8..9....91.8..42........4.....1.9...5...82..4.....1..2...6..98...35...,463152987258749631791683542932578164684321795175964823546297318327816459819435276,8.206,1.2
1426054,....3..41...1.6..9...4..62.27.....6...1367...5........427..89...8.....5....9....2,762839541854126739193475628278591364941367285536284197427658913389712456615943872,15.853,2.0
331466,....2.1...1....94.4.21...8........566..58.7.4.....4.1..64.9..2....7..8..8....3...,986425173513678942472139685248917356631582794759364218364891527125746839897253461,22.127,1.4
1903054,9..6...1...85.4.9.4..81.62.5.4.76...63...5..2..2........67.135.........4.....2...,925637418168524793473819625594276831637185942812493567286741359351968274749352186,1.792,1.5
183775,.6.4..1.8.1...3...5.3..6..9....42..5...9...8..9..3....2...7.....7...162..3......1,769425138814793256523816749387142965145967382692538417251674893978351624436289571,10.264,1.6
379890,.5..4.....2....3.6..3.82.....64.........36.4.7....8..1..7.1.8..........4.8.9..267,658349172924175386173682459836491725215736948749528631567214893392867514481953267,12.492,1.1
1243254,....6..98..34..5...5.1.2.4..2...4.......1.......8.31....4..9.7.68.2.74.....3....6,412765398763498512859132647126574983348916725975823164534689271681257439297341856,3.636,1.7
53922,..4..1.5....75..4......49...13.....9.7.9...82..2.6..755.13.....3...876...........,984631257236759841157824936813275469675943182492168375541396728329587614768412593,17.280,2.0
502894,..8..1..2.......6....356..48...7..51.2..........564...73.1..........968.9.....2..,658491732349287165271356894863972451425813976197564328736128549512749683984635217,2.395,1.5
2900700,256.....3.....4......1...7....9..82.....3.1...9.....5.9..6....2..3....9..45.1....,256798413719364285438125976364951827587432169192876354971683542823547691645219738,3.690,1.3
887558,.6.5....9...68..3...4..7.....3...1.57....5....9..........1769..3......7.2.6..4.1.,167543289925681734834297651683729145741365892592418367458176923319852476276934518,18.647,1.2
1091722,..5....841...35...8.........4..5.......6..9....7...3.2.8.39.6.......7...9...8.2..,735926184164835729829741536643259871218673945597418362481392657352167498976584213,9.252,2.1
1123010,..83.......1.5...7..71.89......1.4..26.....1....9..........6.45.9..2.7.6........3,928347651641259837537168924853612479269734518714985362372896145195423786486571293,30.947,2.5
504411,25....98...6..3...1.......7..43....5.9.....7.5..8.......5..2....7...16.98...5....,257164983486973521139528467724396815698215374513847296965732148372481659841659732,61.291,2.8
2016693,...1.6.7..49..5..81.....9............7...1....63.8..9.6.2....1..8....2.....2..3.4,328196475749325168156874923491652837875931642263487591632548719984713256517269384,44.534,1.6
